Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
62.7,19440611707,6990,2781203.4,1402647.5,28944,15004420,3722906.7,cuMemcpyDtoH_v2
25.2,7811537521,10,781153752.1,7438.5,982,5101229071,1740507959.1,cudaFree
6.1,1892606517,16790,112722.2,11082.5,3102,32071604,438148.9,cuMemAlloc_v2
3.7,1138536031,16773,67879.1,8646.0,1638,9797374,156143.5,cuMemFree_v2
0.5,156552047,1,156552047.0,156552047.0,156552047,156552047,0.0,cuCtxCreate_v2
0.4,126629335,8393,15087.5,12444.0,7740,64534,6961.4,cuMemcpyHtoDAsync_v2
0.4,122387956,2798,43741.2,43134.5,36688,126994,4437.9,cuMemcpyDtoHAsync_v2
0.4,115614934,9786,11814.3,12468.0,7263,41914,3006.5,cuLaunchKernel
0.2,66002538,4196,15729.9,15408.5,13062,118392,3145.9,cudaLaunchKernel
0.2,49349756,11188,4411.0,4150.0,2353,32224,1547.8,cuEventRecord
0.1,34541791,11184,3088.5,420.0,185,28859627,272888.3,cuEventDestroy_v2
0.1,22835535,1402,16287.8,15228.5,10127,1071013,28243.2,cuMemcpyHtoD_v2
0.1,17039174,1398,12188.3,11181.0,9668,160836,4759.2,cudaMemsetAsync
0.0,13919143,1398,9956.5,13210.5,3499,22447,4215.0,cudaEventQuery
0.0,10019792,11192,895.3,532.0,304,13682,951.9,cuEventCreate
0.0,3986943,1398,2851.9,2768.0,2445,12891,613.2,cuEventSynchronize
0.0,3470449,1398,2482.4,2357.0,1982,17633,775.3,cudaEventRecord
0.0,1952311,8,244038.9,188722.0,4052,579549,238834.5,cudaMalloc
0.0,659961,6,109993.5,98773.5,91013,150662,22965.7,cuModuleLoadDataEx
0.0,75960,2,37980.0,37980.0,30828,45132,10114.5,cudaMemcpy
0.0,75459,1,75459.0,75459.0,75459,75459,0.0,cuMemGetInfo_v2
0.0,72301,36,2008.4,1465.0,684,21474,3401.7,cudaEventCreateWithFlags
0.0,39363,1,39363.0,39363.0,39363,39363,0.0,cuStreamCreate
0.0,15048,4,3762.0,1846.5,1109,10246,4353.2,cudaDeviceSynchronize
0.0,8653,3,2884.3,3602.0,1290,3761,1383.0,cuInit
0.0,8245,18,458.1,365.0,304,1992,388.1,cudaEventDestroy
